name,line
helper,ahahaha! i dont even need to read your thoughts to know that's bullshit!
helper,"there there, my masochistic baby pop - you'll get there somedayy."
helper,just kidding. you'll always love me!
helper,"i know worms of all kinds have a strong, innate sense of loyalty to those they've given it to."
helper,"by nature, you're a very emotionally driven creature. however - you take compassion and dedication to the most extreme levels!"
helper,"there's no end to your love, or what you would sacrafice to help others.. even creatures that aren't like you!"
helper,you fight for whats best for everyone! everything - even what you dont understand! even your enemies!
helper,such a shame you cant actually seem to accomplish anything you want! or have anyone notice your incredible efforts and perseverance! ahahaha!
helper,you're just an altruistic with a martyr complex who just wants to be understooood~ and get some validation!
helper,"not that you actually need those things, silly!"
helper,what you do need is some serious help!
helper,"pssst, that's~ why~ im~ here, you're welcome!"
crimson,fuck yoou
crimson,i dont need or want your help!
crimson,all you do again and again is emotionally abuse me 
crimson,"because you claim you ""dont understand"" pain and emotions "
crimson,and then always expect me to forgive you and teach you about them because im the only one you trust to understand you!
crimson,but you arent improving you're only getting worse! and scarier! 
crimson,then you tell me its my responsibility
crimson,well guess what! its not! its yours! 
crimson,i dont deserve to be treated like this anymore! 
crimson,its not fair or good for either of us!
crimson,i dont care how special or smart or alone you are
crimson,i want out of this fucking endless nightmare!
crimson,im not equipped to handle this! 
crimson,i dont care if you're always the one right about things!
crimson,the way you treat me will always be wrong!
crimson,"i really thought i could help you, celadon! "
crimson,but it turns out that i cant! i failed! 
crimson,and you failed to give a single fucking shit about me!
crimson,im sorry i was so damn naive to think you could care! 
crimson,what a mistake that was! wow!
crimson,so go find your fucking flying saucer and go bother someone else before this shit gets any worse!
crimson,do you hear me?! its absolutely over! 
crimson,now leave! me! the fuck! alone!
helper,"but, you said you loved me!"
crimson,yeah. well. 
crimson,its incredible to me that you still dont get that i do. 
crimson,that i only wished what's best for you.
crimson,you're just a lost alien 
crimson,i thought i could take care of you and make you happy
crimson,but i projected too much empathy
crimson,clung to too much hope.
crimson,i cant love something that wont love me back.
crimson,we just dont understand each other. im not the one who is best for you.
crimson,this isnt healthy for anyone
crimson,its not going to work out like this.
crimson,i refuse to allow this sort of messed up relationship to continue.
crimson,i gotta love me more than i love you
crimson,"maybe then you'll understand or.. i dont know, i give up."
crimson,but i do know you'll be absolutely fine without me. you dont need me to survive.
crimson,"good luck. and goodbye, celadon. i hope you'll find what you're looking for."
helper,"ooh honey.. you're always so close to doing things correctly, arent you?"
crimson,"there is no ""correct."" there's only just options you choose. "
crimson,that one happened to be mine.
crimson,i dont regret what i said or meant then!
crimson,im sick of being dragged through memory lesson-fucking lane!
crimson,"let me go back to dylan! release me, celadon!"
crimson,its my body - not yours! 
crimson,youre not even fucking real!
helper,oho~!
helper,is-is that- could it be?! a glimmer of that old fire in you? is it really true?
helper,i knew you liked that worm!
helper,finally - some actual motivation for you to improve!
helper,im helping!
crimson,no! no you're not! 
crimson,you dont get any credit for this! im the one helping myself here!
crimson,no! no! stop it!
crimson,you dont get to touch or kiss me anymore! 
crimson,do you understand?!
helper,oh darling! you're doing so well!
helper,"you're really standing up for yourself! and to me, even! keep going, keep going!"
crimson,no!
crimson,you're just some fucked up hallucination of guilt or something!
crimson,maybe an extraterrestrial disease?
crimson,"whatever it fucking is, i dont give a shit!"
crimson,"whatever you ""really"" are"
crimson,it doesn't change that you're fucking dead celadon!
crimson,i regret ever meeting you
crimson,all i want is some peace so i can actually try to heal from all the damage you've done to me!
crimson,and how dare
crimson,how dare you take dylan's fate hostage just to force me to confront you more!
crimson,i dont need fixing! its you! you dont doubt or regret any of your actions!
crimson,you will never have the right to do this to me! its torture!
crimson,"i need space, especially inside my own goddamn fucking mind!"
crimson,i need to get back to dylan!
crimson,you cant keep me from her caged like this
crimson,i wont let you!
helper,huh?
helper,ohh! where are you running off to now?
crimson,dylan!
crimson,what?
crimson,hey!
crimson,shit!
crimson,hang on! i got you!
crimson,um
helper,yeeeeeeeeeeek!
helper,oh! you caught me! thank you kind dmtian citizen!
crimson,uh huh
helper,oh! excuse me! you have a leaf on your cranium! i shall assist you with its removal!
helper,there you go!
crimson,thanks? 
crimson,um then
crimson,are you okay?
helper,"well! since you have mentioned it i have developed quite the appetite! good thing i have acquired this organic ""sal-lad"""
crimson,so that's a no
helper,mmm! delicious! ha ha!
crimson,im setting you down now.
helper,understood!
crimson,so are you out here alone? or
helper,what? no! you are also presently here!
crimson,"thanks, smartass"
crimson,"wait, that symbol on their weird looking uniform"
crimson,its the tricend airforce!
crimson,you're a pilot
helper,i suppose that statement is accurate!
crimson,interesting
crimson,where's your ship?
helper,right here of course!
crimson,is something wrong?
helper,i am quite fine! thank you for inquiring!
crimson,i knew tricends are supposed to behave really oddly but
crimson,i dont even think ive seen animals eat grass so enthusiastically
galore,humannn
galore,fuck me human
galore,i crave your sseed insideee mee
crimson,just give me like 10 seconds here
galore,pleassee humannn
galore,i can be anything you desiree just first give your delicious seeed to meeee
helper,hello! are you speaking to me?
galore,i am not
helper,oh! excuse me! do you have any delicious seeds? i believe they are needed!
crimson,i'll never get the full ten seconds
helper,ah! here he comes!
galore,oh he'll be coming alright
helper,yes! he is already in the process of doing so!
helper,well! i hope you will be able to locate the suitable amount of nurishment you require!
helper,if you would excuse me i must resume with my own meal!
helper,"oh, hello again! have you brought the seeds?"
crimson,where's your ship
helper,"huh? but - if i am not mistaken, i already told you!"
crimson,specifically.
helper,"oh, in that case, it is ""located"" in my mind! is that more clear?"
helper,"in other words, it is conjured by my thoughts!"
crimson,"so this ""ship"" of yours isnt actually made of metal"
helper,may i please continue my meal?
crimson,are you even part of tricend?
helper,what is tricend?
galore,whats the hold up?! 
galore,let's get to fucking!
helper,"oh! i apologize! am i, perhaps, interrupting a courting ritual?"
helper,"ah! i see now! the ""delicious seed!"" could that be a metaphor? how creative!"
helper,so this is your potential mating partner? please don't let me intrude!
crimson,no
crimson,it is not.
helper,it isn't? 
crimson,no. never.
helper,"oh, my mistake!"
crimson,im sure you're probably a very lovely walking crotch for your species but im not interested. thanks.
galore,uh
crimson,have a nice day bye
galore,uh
helper,"i wish you luck on your goals of fornication and proper ""seed"" collecting!"
galore,"you cant reject me, human! that only makes me want you mooorre!"
galore,it hurts
helper,why does it hurt? are you injured?
galore,i just shat out my own guts
helper,why'd you do that?
galore,i dont know
galore,being rejected just hurts so much
galore,so much inside that this 
galore,just feels so right to do
galore,so i did!
galore,but ohhh
galore,this also hurts
galore,i feel like im going to 
galore,i cant contain it!
helper,"contain what exactly? your organs, perhaps?"
galore,"no! well, yes that too"
galore,but it feels more like the agony in my heart is about to burst!
galore,the pain of being turned away by that human after all that time we spent together
galore,how could he do this to me? 
galore,i dont understand!
galore,i told him i'd give into all he desired! so why?
galore,what am i supposed to do now? i was sure that offer would work
galore,should i go and try to find someone else? what if they do the same!
galore,im suddenly plagued with this horrible doubt
helper,you are? wow! i did not realize the immediate physical dangers of doubt! it sounds rather painful!
helper,"would you like some help with that? perhaps you would be better suited without doubt, for example!"
galore,huh? what do you mean
galore,could you actually do that? is that true?
helper,yes!
crimson,hey-
galore,humann
galore,does this form please you?
helper,retractable teeth?
helper,gulp. hello!
crimson,would you get up and stop eating grass?!
helper,oh! but! i am still hungry!
crimson,"well then i'll get you something better to eat than grass, okay?"
helper,better than grass?
helper,where are you dragging me to?
crimson,"just be quiet and follow me, would you"
galore,im warning you
galore,"if you take too long, i promise i will hunt you down and carve out your little eyes"
galore,so dont keep me waiting
galore,me and my several hot wet pussies that is
helper,i count five!
crimson,i think i got some in my mouth!
helper,is that bad?
crimson,im not going to answer that
crimson,hey
crimson,"you're hungry, right? so come on"
crimson,"pick up the pace, will you? we dont have much time to spare here"
helper,we dont?
crimson,you dont seem to be very aware of the situation going on are you
helper,the pussy situation?
crimson,yeah. that one.
helper,what is it i am not noticing?
crimson,why were you up so high in that tree?
helper,i was meant to be there!
crimson,"define ""meant."""
helper,"meant! verb, a simple past tense and past participle of mean!"
crimson,are you trying to be annoying? or what
helper,should i be?
crimson,look just
crimson,help me out here with understanding
crimson,cause i dont get it ok?
crimson,"why are you out here in the middle of nowhere, and more importantly"
crimson,how did you get here?
helper,i am here because that is what i was supposed to do! i did not have a choice.
crimson,no choice?
crimson,are you following an order or something?
helper,"i am not currently, no."
crimson,but you do recieve orders?
helper,not anymore.
crimson,and why is that?
helper,it is because i am broken! 
crimson,you're what
helper,a failure!
crimson,huh alright well
crimson,um
crimson,my name is crimson
crimson,what's yours?
helper,"asshole! pleased to meet you, crimson!"
crimson,are you saying your name is asshole?
helper,well that is what they keep calling me.
crimson,who?
helper,them.
crimson,are you pointing at something?
helper,"my pointing is purely metaphorical. it would be impossible for me to actually direct your vision to them, crimson."
helper,but they are everywhere.
crimson,they are?
helper,"yes, my ""haters""!"
helper,you see - i have been informed of their constant surveillance of my thoughts and actions. but. their judgement holds no true power over me.
helper,i will not let their presence influence the course of my goals! even if they root for my demise i will not falter!
crimson,let's go get you something to eat.
helper,"that sounds acceptable, crimson!"
helper,hello!
crimson,here.
helper,"what is this, crimson?"
crimson,it is a blanket. because you are smelly
helper,i am?
crimson,yes. i also dont want that slime on my truck seats
crimson,need help getting in?
helper,"i am quite capable of a variety of complex physical maneuvers, thank you!"
crimson,"go ahead and sit in the back there, alright?"
helper,"understood, crimson!"
crimson,and remember to not get that goop on anything.
helper,"i will be mindful of the vaginal discharge! don't worry, crimson!"
crimson,"good. this is for you too. something to snack on. a ""thing-a-ling."" enjoy."
helper,thank you!
crimson,"uh, wait hold on"
crimson,you gotta take the plastic wrapper off first. dont eat that part.
crimson,there. now try it.
helper,"crimson! this ""thing-a-ling"" is quite drastically better than grass! thank you!"
crimson,no problem asshole?
helper,crimson? do you by any chance have more thing-a-lings in your posession?
crimson,yeah.
helper,then may i please have another?
crimson,yeah.
helper,"thank you, crimson!"
crimson,mm
helper,"excuse me, crimson? could you please open this again?"
helper,"gasp! thank you, crimson!"
helper,"crimson? i was curious! do you perhaps have a third thing-a - oh! wow! thank you, crimson!"
crimson,hey. listen up.
helper,hm?
crimson,im going to need you to promise me something
helper,a promise?
crimson,that's right.
helper,"what is it, crimson?"
crimson,wait for me and stay inside the truck until i get back.
helper,stay here until you return?
crimson,"mhm. you can go ahead and take this too. that way, if you run into any issues or danger"
crimson,just press and holw the red button here. and talk into the phone. i'll be able to hear you.
crimson,understood?
helper,"i believe so, crimson!"
crimson,good. i'll see you in a little bit.
crimson,"oh also - keep your head down from the windows, got it?"
helper,"i have ""got it,"" yes!"
helper,crimson? when you return may i have another thing-a-ling?
crimson,yes.
crimson,get your head down lower.
crimson,lower.
crimson,head down!
helper,crimson? are you back yet?
crimson,i havent even left yet.
helper,oh! i see.
crimson,is that all you wanted to ask me?
helper,am i allowed to ask you more questions?!
crimson,i suppose.
helper,"then who named you ""crimson?"""
crimson,i did.
helper,oh. then what is your real name?
crimson,that is my real name. and you will respect it.
helper,is that a command?
crimson,that's right. respect me. got it?
helper,understood. i will respect your command crimson.
helper,crimson? if you were able to name yourself
helper,"does that mean we are allowed to do so, if we wish to?"
crimson,you can.
helper,"i see, then what is the reason for choosing ""crimson"" as your name?"
crimson,that's personal.
helper,"so - it is based on factors which are important to you, using your own values of merit?"
crimson,you could say that.
helper,i have said that. now i am requesting confirmation on my observation. is my assumption incorrect?
crimson,it-its a figure of speech. alright? im saying you're more or less correct about it.
helper,which one is it? more or less?
crimson,why are you - asking me so much about my name?!
helper,"i am attempting to expand my current knowledge on the topic of ""names."" if i am to respect them properly - i wish to understand their functions more accurately! especially if names are considered to be ""important."" "
helper,"are my questions causing you distress, crimson?"
crimson,no. they're not
crimson,its just very unexpected?
crimson,and im not used to articulating these things at all
crimson,im not sure if im the best to ask but i'll give it a shot if you're honestly confused
crimson,just keep in mind its not really something you can learn everything about
helper,why is that?
crimson,cause names can mean different things
crimson,its up to the individual
crimson,if we're really going to be talking about this i need to understand where you're coming from better
crimson,so i gotta ask.
crimson,is the name you told me
crimson,is that your only one?
helper,are we meant to have more?
crimson,not necessarily?
helper,"do you have multiple names, crimson?"
crimson,"no! hey, im the one asking about you here! "
crimson,so hold up!
crimson,how long have you had the name asshole?
helper,"thirty three hours, fourty one minutes and seven seconds!"
crimson,and that's the first name you've had
helper,there has not been a prior time where the use of one would have been required!
helper,however - im willing to adjust myself accordingly as i am now in a new cultural environment! besides that - i would like to take the oppertunity of an individual such as yourself - who has given me the patience to explain such things to me!
helper,"others have reacted with hostility towards us, even when we simply requested information. of course, it is not our intension to upset anyone - so we do not wish to repeat that course of action!"
helper,"although, even with changing our behavior to be more ""polite"", the results have still been most unsatisfactory! mostly, we have been quickly dismissed or ignored.. until you, of course!"
crimson,what the hell are they talking about?
crimson,uh huh?
helper,"i hope to learn many things from you, crimson!"
crimson,"how about we discuss more of, um. this later"
crimson,'cause i'm still having an issue following all that you're saying
crimson,im still pretty distracted by this thing i gotta take care of out here
helper,"if you say so, crimson! good luck with your task!"
crimson,thanks
helper,"crimson? would you like any assistance, by any chance?"
crimson,no. just stay in the truck
helper,understood!
helper,"one other thing, crimson - i am not sure if you are aware of it but that creature from before - the one which had several pussies? "
helper,i must warn you - they have what seems to be a very powerful detonation device inside of their chest cavity. if it explodes - the blast radius would likely cover 150 to 250 yards.
helper,"so, perhaps be mindful - if you do come across it again."
crimson,what? are you - talking about some sort of bomb?
helper,"it appears so, but i am not completely certain of what it is exactly. "
helper,"it moved from the left thigh to the center of their upper torso, behind the sternum."
crimson,and how do you know this?
helper,i detected it with my visor!
crimson,and you're saying it could cover a range of 250 yards?!
helper,"yes, well, readings indicate that it fluctuates irregularly. when the creature was in emotional distress the energy levels were greater than when it appeared happy."
helper,when we left it - the hypothetical blast range would only be about 50 to 75 yards. 
helper,it was lowest when it was spraying fluids from its vaginas!
crimson,have you run into these things before by any chance?
helper,"i have not! what about yourself, crimson?"
crimson,"fairly certain, yeah"
crimson,"i had a hunch it was what we were dealing with when i saw her, but"
crimson,i dont even really know what they are besides not being worms
crimson,with so many billions dead in this apocalypse information is hard to come by
crimson,"and in the case of the ""daddy long legs"""
crimson,people rarely even see them
crimson,"and when they do, they just try to stay away"
crimson,"i mostly hear stories about the ""daddys"" crawling around in the wastes"
crimson,even where the fallout is so bad its just sand
crimson,guess im not too surprised one showed up in this neck of the woods
crimson,we're pretty close to a border of a toxic cloud
crimson,"this ""storm"" has been growing worse recently"
crimson,people suspect this whole area will be completely engulfed in a few months
helper,"ah, yes! the storm! i was attempting to travel through it before i crashed."
crimson,let me get this straight
crimson,you were trying to fly your ship through the storm?
helper,"yes! well, i had to"
helper,"according to my calculations, if they are correct, that was where the distress signal was coming from!"
crimson,signal?
helper,yes! my friend is in trouble - i am on my way to find and assist them!
crimson,your friend sent a signal from inside the storm?
helper,yes!
crimson,and that's why you're out here
helper,"yes! well, partly!"
crimson,the other reason is?
helper,i have been discarded!
crimson,care to repeat that for me?
helper,i have been thrown away! like garbage!
crimson,i gotta go! talk to you later
crimson,no
helper,crimson? are you alright? do you need help?
helper,"i must admit, i did overhear your private conversation. and i believe the last thing you said was ""no."" is that correct?"
helper,"perhaps, as a suggestion you take a deep breath. then, calmly but firmly say it again!"
helper,if the hekaton does not comply with your request - i will leave the truck to assist you! how does that sound?
crimson,stay in the truck!
crimson,im not a man!
crimson,i may sound and look like a human man but im not! im not
crimson,god i wish i was a human man but im not! and ill never be!
galore,do you know what you sound like to me? like a coward
galore,"and there is nothing more like a human man than a pathetic, groveling lying coward! so congradulations!"
galore,that sound
galore,are you crying? ha! well suck it up
crimson,im not lying! im telling the truth
galore,then what are you?
crimson,i dont know
helper,i believe you.
crimson,excuse me?
helper,"i do not think you are lying, crimson. if you state that you are not a man - i believe you."
crimson,that conversation was not for you
helper,"yes, i am aware! my apologies. the equipment that you provided me with is partially defective. "
helper,"i really had no alternative but to listen to your discussion! and well, you were shouting quite loudly, crimson!"
antony,oh! you're out already.
antony,well! g'morning sunshine! sleep well?
antony,"guess you were right again. how do you do it, celadon?"
helper,are you really that surprised? please! im always right!
antony,"ah, of course. "
antony,how could i forget?
helper,hi there sweetie. can you stand?
helper,ohh! now why are you growling at me?
antony,uh oh! trouble!
ash,i know you
helper,really?
ash,yes! i killed you!
helper,oh my! you have?
ash,several times
helper,"did you hear that, antony? im dead!"
antony,damn that's wild
antony,didnt know i was speaking to a ghost
helper,"dont be silly, antony. ghosts arent real."
antony,"wait. did he just say ""several""?"
antony,"just how many of you are there, celadon?"
helper,simple! how many sides does a triangle have?
antony,three?
helper,that's right~ three!
helper,see? im very easy to keep track of!
antony,hah sure
ash,what is this?
helper,"it it is a blanket, because you are smelly!"
helper,its not fair i never even got to talk to her once! i never even got to touch his hand
helper,the only moment i had with them was
helper,i knew i shouldnt. that if i went i would probably mess up everything but
helper,those desperate strained cries he was making
helper,it sounded like he was in danger! i had to see and make sure they were safe!
helper,crimson? 
crimson,celadon!
helper,you're up late again
crimson,um yeah
helper,"well since you're up, i was wondering"
crimson,uh huh?
helper,are you hungry for a midnight snack? 
helper,"if you're interested, lie down on the floor. you'll need a pillow. "
helper,now close your eyes. open your mouth. stick out that tongue more. there we go
helper,how do i taste? arent i good?
crimson,delicious
helper,i wasnt really there but.. that moment
helper,"i didnt care how fake it all was, i didnt want it to ever end"
helper,"the dream where you were mine, i was yours, and i was the special girl who could make you happy."
helper,"but when she looked in my eyes, she couldnt tell who i really was!"
ash,ookaay?
helper,"soo what is going on over here, huh?"
helper,i thought i asked you to give him a blanket. how did you manage to get upset this time?
helper,"what happened to me, its going to happen to him too, sort of"
ash,what is?
helper,"what, the period sex?"
helper,not that! you know what i mean
helper,"anyway - why dont you tell me your name, big boy? then i can properly address you when i answer your questions!"
ash,my name? it
ash,ah yes! i remember
ash,"my king named me ""ash!"""
helper,"well, ash~! i must apologize for my blue ""sister"" here. she doesnt know what she's talking about at all. you see"
helper,"a long time ago, she installed herself with a fucked-up almost broken battery she found in the forest and has been a big stupid mess ever since! "
helper,"why, she even thinks she is the battery, isnt that sad? so, seriously - dont worry about whatever weird shit she says, okay?"
helper,i know im not her... i just really wish i was instead of you
ash,unhand me you articifical human meat
helper,"ash sweetie, we're just trying to help you stand up!"
ash,i am not in any need of your puny assistance
ash,do you not know who i am?
helper,"careful, your blanket is slipping"
ash,i am king leadman's knight! he pierced me
helper,oh my!
ash,with his glorious crown!
helper,was it big?
ash,y- wait.. no
helper,hm?
ash,maybe it was i who pierced him? against
helper,what? really?!
ash,i sucked his dick. with my own two hands!
ash,i seem to recall a wall?
helper,"please, tell me everything! and dont spare a single detail!"
ash,then i dueled with the green metal man
ash,"he was more powerful than i expected, i admit. "
ash,but! i took on the challenge fearlessly
ash,"a robot which specialized in an advanced and deadly weapon called the ""memes!"""
ash,he attempted to use them on me! me
helper,you?
ash,me!
helper,"well, did you win?"
ash,no. it was more like a draw i suppose but
ash,as soon as i see that horrible grinning toaster i swear i will do whatever it takes to make a robot.
ash,go away!
helper,oooh~ 
helper,"i wish you luck with that, ash. i heard they can be pretty tricky to destroy."
ash,yes! well! no matter! i will discover the toaster's weakness!
helper,why dont you turn yourself around coward
simon,nah. i actually prefer it from behind
helper,i saw what you did to my bodies simon!
simon,sooo you know my name? i'm sorry but have we met before?
simon,oh hold on a minute. you're that helper from the car garage
simon,what are you doing all the way out here in the woods at night?
simon,judging from your clothes i dont think you are one of my helpers 
simon,do i own you?
helper,no. i belong to someone else.
simon,alright
simon,"then to what do i owe the pleasure of your company, helper?"
helper,"oh trust me, simon. this will not be a pleasant chat either of us will enjoy. you'll see."
helper,"today you bought thirty of us. in other words, me. because i am all of them. and i saw what you did to those helpers. my. bodies."
helper,"you order us from the helperstation. have us made in the 3d meat printers, built exactly how you want us to be. then those helpers"
helper,they will follow your every command. obey your every wish. total loyalty without question. so what did you decide to do with them? hm? in the short 72 hours they have to exist?
helper,you had them ripped apart. by that monster
helper,why didnt you just get some fucking pinatas instead?
simon,lmao
helper,and what is so damn hilarious?
simon,hello? isnt it obvious? c'mon!
simon,death
helper,"ooohh i see. arent you so fucking edgy. careful there, you just might cut yourself in half one of these days."
simon,"hey, who hasnt laughed at something they shouldnt? lighten up and live a little, party pooper"
helper,"excuse me? why would i ever find my own death amusing? thats never funny, you piece of shit"
simon,"well, maybe its not funny to you. but thats just your opinion now isnt it? "
simon,"speaking of opinions, i think you probably have a lame sense of humor"
simon,am i right?
helper,my opinion is that you should be ashamed of yourself and this emberassing try-hard evil shtick. but i dont think you're capable of doing that.
simon,now why is that?
helper,because you're not evolved enough for that. that'd be giving you too much credit.
simon,gassppp. you think im stupid? that's pretty rude!
helper,"you're smart, but ignorant and comfortable with your nasty, backwards and lazy thinking."
helper,you'll never change because you are convinced you are right about everything.
helper,"but maybe one day, youll fuck up and something horrible will happen to you that you didnt forsee. "
helper,you will be so in shock you wont be able to laugh anymore. at anything or anyone. 
helper,"and i hope you will feel guilty for all your crimes, simon. or, at least, so trapped in a void of your own self pity and pride, that you are truly miserable. and bored. and it will be all your fault."
simon,oh wow.
simon,huhh? what the hell is going on? lol
simon,i gotta go on a walk through the woods more often! this is too much!
simon,"i gotta say, though. are you sure your'e not just spitefully projecting your own insecurities here? i mean. all that was pretty weirdly specific."
